LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,BookingStatus
211,2018,5,20,0,2,0,2,0,0,0,0,100.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
121,2018,7,6,0,4,0,3,0,0,0,0,96.9,1,1.0,0.0,0.0,0.0,0.0,1.0,Not Canceled
30,2018,11,26,2,1,0,2,0,0,0,0,88.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Canceled
256,2018,6,15,0,2,0,2,0,0,0,0,115.0,1,0.0,1.0,0.0,0.0,0.0,0.0,Canceled
122,2018,11,25,0,1,0,1,0,0,0,0,67.0,0,1.0,0.0,0.0,0.0,1.0,0.0,Not Canceled
37,2017,11,6,1,2,0,1,0,0,0,0,37.33,0,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
56,2018,12,7,0,3,0,0,2,0,0,0,82.44,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
34,2018,6,19,2,1,0,1,0,0,0,0,81.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
35,2018,6,21,0,2,0,2,0,0,0,0,102.0,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
96,2018,4,10,2,1,0,3,0,0,0,0,121.8,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
57,2018,11,1,0,4,0,2,0,0,0,0,79.2,1,0.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
169,2018,4,22,2,2,0,2,0,0,0,0,106.0,0,0.0,1.0,0.0,0.0,0.0,0.0,Canceled
2,2017,9,10,0,1,0,1,0,0,0,0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,Not Canceled
30,2018,10,5,0,3,0,2,0,0,0,0,157.5,2,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
267,2018,12,31,1,1,0,3,0,0,0,0,121.5,0,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
46,2018,3,4,1,2,1,2,0,0,0,0,98.3,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
188,2018,6,15,0,2,0,1,0,0,0,0,130.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
118,2018,4,13,0,4,0,2,0,0,0,0,90.95,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
189,2018,10,23,1,0,0,2,0,0,0,0,85.5,2,0.0,0.0,0.0,0.0,0.0,0.0,Canceled
40,2018,6,30,2,3,0,2,0,0,0,0,117.9,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
123,2018,8,13,2,2,1,3,0,0,0,0,155.7,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
68,2018,4,24,2,0,0,3,0,0,0,0,133.2,2,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
30,2018,3,30,0,2,0,2,0,0,0,0,85.5,0,1.0,0.0,0.0,0.0,0.0,1.0,Not Canceled
1,2018,10,20,0,2,0,2,0,0,0,0,135.0,2,0.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
11,2017,10,9,0,1,0,2,0,0,0,0,155.0,2,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
27,2018,4,15,2,4,0,3,0,0,0,0,142.72,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
13,2018,5,9,1,2,0,1,0,0,0,0,90.0,0,1.0,0.0,0.0,0.0,0.0,1.0,Not Canceled
39,2018,3,28,1,0,0,2,0,0,0,0,117.9,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
112,2018,5,4,0,4,0,2,0,0,0,0,101.58,1,0.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
280,2018,9,19,1,2,0,2,0,0,0,0,110.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
196,2018,8,22,1,5,0,2,0,0,0,0,99.45,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
273,2018,5,13,1,2,0,2,0,0,0,0,95.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
111,2018,5,2,1,3,0,2,0,0,0,0,101.58,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
34,2018,8,21,2,3,0,2,0,0,0,0,85.0,0,1.0,0.0,0.0,0.0,0.0,1.0,Not Canceled
4,2017,9,22,0,1,0,2,0,0,0,0,145.0,2,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
195,2018,8,13,2,1,0,3,0,0,0,0,106.03,1,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
13,2018,12,5,1,1,0,1,0,0,0,0,88.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
78,2018,3,20,2,5,0,2,1,0,0,0,86.32,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
335,2018,10,13,0,3,0,2,0,0,0,0,90.0,1,1.0,0.0,0.0,0.0,0.0,1.0,Not Canceled
103,2017,8,22,2,5,0,2,0,0,0,0,55.96,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
4,2017,9,19,2,2,0,1,2,0,0,0,200.75,2,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
15,2018,3,18,0,2,0,2,1,0,0,0,127.0,1,1.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
36,2018,12,26,1,3,0,2,0,0,0,0,102.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Canceled
35,2018,12,2,2,2,0,2,0,0,0,0,74.8,2,0.0,0.0,0.0,0.0,0.0,0.0,Not Canceled
